bin,sigma_lo,sigma_hi,count,metric_name,scale_delta,cycle_len,value
0,0.010000000000000004,0.019392274474868586,128,r_sym,,,9.166544259753273e-12
0,0.010000000000000004,0.019392274474868586,128,r_loop_multi_total,,,1.2445510515108476e-17
0,0.010000000000000004,0.019392274474868586,128,r_loop_multi,0.02,,6.105531980662919e-21
0,0.010000000000000004,0.019392274474868586,128,r_loop_multi,0.05,,5.899895704331675e-19
0,0.010000000000000004,0.019392274474868586,128,r_loop_multi,0.1,,3.674043459023705e-17
0,0.010000000000000004,0.019392274474868586,128,r_cycle_total,,,5.19663728937303e-07
0,0.010000000000000004,0.019392274474868586,128,r_cycle,,3,2.978794100272353e-07
0,0.010000000000000004,0.019392274474868586,128,r_cycle,,4,6.049623948456428e-07
0,0.010000000000000004,0.019392274474868586,128,r_cycle,,5,6.561494956258684e-07
1,0.019392274474868586,0.03760603093086396,128,r_sym,,,8.373895327151715e-12
1,0.019392274474868586,0.03760603093086396,128,r_loop_multi_total,,,1.2137931676136758e-17
1,0.019392274474868586,0.03760603093086396,128,r_loop_multi,0.02,,7.160824206895567e-21
1,0.019392274474868586,0.03760603093086396,128,r_loop_multi,0.05,,5.362151791965546e-19
1,0.019392274474868586,0.03760603093086396,128,r_loop_multi,0.1,,3.587041925684358e-17
1,0.019392274474868586,0.03760603093086396,128,r_cycle_total,,,3.674215349747101e-07
1,0.019392274474868586,0.03760603093086396,128,r_cycle,,3,1.0920325621555094e-07
1,0.019392274474868586,0.03760603093086396,128,r_cycle,,4,3.7295953347893374e-07
1,0.019392274474868586,0.03760603093086396,128,r_cycle,,5,6.201017299645173e-07
2,0.03760603093086396,0.07292664737217111,113,r_sym,,,9.767423848894285e-12
2,0.03760603093086396,0.07292664737217111,113,r_loop_multi_total,,,1.1181837446659179e-17
2,0.03760603093086396,0.07292664737217111,113,r_loop_multi,0.02,,5.283434005233118e-21
2,0.03760603093086396,0.07292664737217111,113,r_loop_multi,0.05,,8.03980884707906e-19
2,0.03760603093086396,0.07292664737217111,113,r_loop_multi,0.1,,3.273624845949241e-17
2,0.03760603093086396,0.07292664737217111,113,r_cycle_total,,,1.3287573210618575e-06
2,0.03760603093086396,0.07292664737217111,113,r_cycle,,3,8.333774417224049e-07
2,0.03760603093086396,0.07292664737217111,113,r_cycle,,4,1.2846867321059108e-06
2,0.03760603093086396,0.07292664737217111,113,r_cycle,,5,1.8682079598875134e-06
3,0.07292664737217111,0.14142135623730953,142,r_sym,,,9.019810939814299e-12
3,0.07292664737217111,0.14142135623730953,142,r_loop_multi_total,,,1.2992334802648906e-17
3,0.07292664737217111,0.14142135623730953,142,r_loop_multi,0.02,,6.7482545477908896e-21
3,0.07292664737217111,0.14142135623730953,142,r_loop_multi,0.05,,6.644583145358438e-19
3,0.07292664737217111,0.14142135623730953,142,r_loop_multi,0.1,,3.83057977988773e-17
3,0.07292664737217111,0.14142135623730953,142,r_cycle_total,,,2.262885914205981e-07
3,0.07292664737217111,0.14142135623730953,142,r_cycle,,3,1.1340549832539182e-07
3,0.07292664737217111,0.14142135623730953,142,r_cycle,,4,1.9451644561740977e-07
3,0.07292664737217111,0.14142135623730953,142,r_cycle,,5,3.7094383742442005e-07
4,0.14142135623730953,0.2742481756762074,136,r_sym,,,1.0985035797661524e-11
4,0.14142135623730953,0.2742481756762074,136,r_loop_multi_total,,,1.5063964806215498e-17
4,0.14142135623730953,0.2742481756762074,136,r_loop_multi,0.02,,7.059757114767078e-21
4,0.14142135623730953,0.2742481756762074,136,r_loop_multi,0.05,,9.409806057104699e-19
4,0.14142135623730953,0.2742481756762074,136,r_loop_multi,0.1,,4.424385279243212e-17
4,0.14142135623730953,0.2742481756762074,136,r_cycle_total,,,3.3019239253917476e-07
4,0.14142135623730953,0.2742481756762074,136,r_cycle,,3,1.839477050680216e-07
4,0.14142135623730953,0.2742481756762074,136,r_cycle,,4,2.7112236011817004e-07
4,0.14142135623730953,0.2742481756762074,136,r_cycle,,5,5.355071266421874e-07
5,0.2742481756762074,0.5318295896944989,152,r_sym,,,1.1307172212426941e-11
5,0.2742481756762074,0.5318295896944989,152,r_loop_multi_total,,,1.0029033050071589e-17
5,0.2742481756762074,0.5318295896944989,152,r_loop_multi,0.02,,7.234764783252431e-21
5,0.2742481756762074,0.5318295896944989,152,r_loop_multi,0.05,,7.2031751110882e-19
5,0.2742481756762074,0.5318295896944989,152,r_loop_multi,0.1,,2.935954830654069e-17
5,0.2742481756762074,0.5318295896944989,152,r_cycle_total,,,1.7872405067009822e-07
5,0.2742481756762074,0.5318295896944989,152,r_cycle,,3,1.0459191912559618e-07
5,0.2742481756762074,0.5318295896944989,152,r_cycle,,4,1.756662015850452e-07
5,0.2742481756762074,0.5318295896944989,152,r_cycle,,5,2.5591401708879857e-07
6,0.5318295896944989,1.0313385377212463,117,r_sym,,,1.0542778455802093e-11
6,0.5318295896944989,1.0313385377212463,117,r_loop_multi_total,,,1.4700617450345456e-17
6,0.5318295896944989,1.0313385377212463,117,r_loop_multi,0.02,,5.5047940802802e-21
6,0.5318295896944989,1.0313385377212463,117,r_loop_multi,0.05,,5.697094282588401e-19
6,0.5318295896944989,1.0313385377212463,117,r_loop_multi,0.1,,4.352663757051189e-17
6,0.5318295896944989,1.0313385377212463,117,r_cycle_total,,,5.095175765745807e-07
6,0.5318295896944989,1.0313385377212463,117,r_cycle,,3,2.704714177070855e-07
6,0.5318295896944989,1.0313385377212463,117,r_cycle,,4,5.529834083972673e-07
6,0.5318295896944989,1.0313385377212463,117,r_cycle,,5,7.050979320410988e-07
7,1.0313385377212463,2.0,108,r_sym,,,1.13073881854997e-11
7,1.0313385377212463,2.0,108,r_loop_multi_total,,,1.676223277823587e-17
7,1.0313385377212463,2.0,108,r_loop_multi,0.02,,9.613527814214666e-21
7,1.0313385377212463,2.0,108,r_loop_multi,0.05,,7.368733242739157e-19
7,1.0313385377212463,2.0,108,r_loop_multi,0.1,,4.954021084527035e-17
7,1.0313385377212463,2.0,108,r_cycle_total,,,8.421749839726544e-07
7,1.0313385377212463,2.0,108,r_cycle,,3,4.7300954975071363e-07
7,1.0313385377212463,2.0,108,r_cycle,,4,8.44474357108993e-07
7,1.0313385377212463,2.0,108,r_cycle,,5,1.2090409882148379e-06
-1,nan,nan,256,exact_jacobian_asymmetry_2d,,,4.163365459101899e-20
-1,nan,nan,64,pathvar,,,8.388267836410834e-13
