bin,sigma_lo,sigma_hi,count,metric_name,scale_delta,cycle_len,value
0,0.010000000000000004,0.019392274474868586,120,r_sym,,,1.240807294845581
0,0.010000000000000004,0.019392274474868586,120,r_loop_multi_total,,,2.8195026402499934e-07
0,0.010000000000000004,0.019392274474868586,120,r_loop_multi,0.02,,1.5669558983688603e-09
0,0.010000000000000004,0.019392274474868586,120,r_loop_multi,0.05,,5.6680196536262883e-08
0,0.010000000000000004,0.019392274474868586,120,r_loop_multi,0.1,,7.876036534071318e-07
0,0.010000000000000004,0.019392274474868586,120,r_cycle_total,,,1.8210128545761108
0,0.010000000000000004,0.019392274474868586,120,r_cycle,,3,1.2183606624603271
0,0.010000000000000004,0.019392274474868586,120,r_cycle,,4,1.5282584428787231
0,0.010000000000000004,0.019392274474868586,120,r_cycle,,5,2.7164194583892822
1,0.019392274474868586,0.03760603093086396,127,r_sym,,,0.12996156513690948
1,0.019392274474868586,0.03760603093086396,127,r_loop_multi_total,,,8.102670534526624e-08
1,0.019392274474868586,0.03760603093086396,127,r_loop_multi,0.02,,3.307747964420571e-10
1,0.019392274474868586,0.03760603093086396,127,r_loop_multi,0.05,,1.2525546821962052e-08
1,0.019392274474868586,0.03760603093086396,127,r_loop_multi,0.1,,2.3022379025405826e-07
1,0.019392274474868586,0.03760603093086396,127,r_cycle_total,,,1.8068914413452148
1,0.019392274474868586,0.03760603093086396,127,r_cycle,,3,0.6668218374252319
1,0.019392274474868586,0.03760603093086396,127,r_cycle,,4,1.666764259338379
1,0.019392274474868586,0.03760603093086396,127,r_cycle,,5,3.087088108062744
2,0.03760603093086396,0.07292664737217111,128,r_sym,,,0.010116917081177235
2,0.03760603093086396,0.07292664737217111,128,r_loop_multi_total,,,1.841225305554417e-08
2,0.03760603093086396,0.07292664737217111,128,r_loop_multi,0.02,,9.846748416642015e-11
2,0.03760603093086396,0.07292664737217111,128,r_loop_multi,0.05,,3.6129321756561694e-09
2,0.03760603093086396,0.07292664737217111,128,r_loop_multi,0.1,,5.1525358202297866e-08
2,0.03760603093086396,0.07292664737217111,128,r_cycle_total,,,1.5956220626831055
2,0.03760603093086396,0.07292664737217111,128,r_cycle,,3,0.9662756323814392
2,0.03760603093086396,0.07292664737217111,128,r_cycle,,4,1.523995280265808
2,0.03760603093086396,0.07292664737217111,128,r_cycle,,5,2.296595573425293
3,0.07292664737217111,0.14142135623730953,127,r_sym,,,0.0011963282013311982
3,0.07292664737217111,0.14142135623730953,127,r_loop_multi_total,,,4.1380707749283374e-09
3,0.07292664737217111,0.14142135623730953,127,r_loop_multi,0.02,,2.563792754484151e-11
3,0.07292664737217111,0.14142135623730953,127,r_loop_multi,0.05,,9.913712073483794e-10
3,0.07292664737217111,0.14142135623730953,127,r_loop_multi,0.1,,1.1397202293039754e-08
3,0.07292664737217111,0.14142135623730953,127,r_cycle_total,,,1.9169656038284302
3,0.07292664737217111,0.14142135623730953,127,r_cycle,,3,0.7667769193649292
3,0.07292664737217111,0.14142135623730953,127,r_cycle,,4,2.139862060546875
